n,raw_read_s,eager_mr_s,delayed_mr_s,inmem_mr_s,eager_mmr_s,delayed_mmr_s,inmem_mmr_s,eager_fmm_s,delayed_fmm_s,inmem_fmm_s,agree
1073741824,1.20201918,7.90103191,1.22733823,0.059851537,14.0154248,1.23885655,0.059364446,11.5039152,5.65044219,0.192240481,1
2147483648,2.37587917,15.6681286,2.39203491,0.117888542,27.0189499,2.3703482,0.117018535,25.6938122,13.6755639,0.387754465,1
4294967296,4.71252068,32.9484487,4.72101386,0.23367701,61.8119466,4.75394192,0.236791833,75.9019746,29.8910479,0.766694023,1
8589934592,9.40251495,77.7290984,9.40803847,0.48283638,155.329881,9.41159556,0.461056802,150.519842,71.379316,1.53544335,1
17179869184,18.7096416,203.601896,18.7518127,0.917075774,329.708814,18.7022814,0.928480638,219.707713,113.781411,,1
